Zaman,Hiz,Sicaklik,Batarya
00:02:23,50,0,0
00:02:26,50,0,0
00:02:29,50,0,0
00:02:32,50,0,0
00:02:35,50,0,0
00:02:38,50,0,0
00:02:41,50,0,0
00:02:44,50,0,0
00:02:47,50,0,0
00:02:50,50,0,0
00:02:53,50,0,0
00:02:56,50,0,0
00:02:59,50,0,0
00:03:02,50,0,0
00:03:05,50,0,0
00:03:08,50,0,0
00:03:11,50,0,0
00:03:14,50,0,0
00:03:17,50,0,0
00:03:20,50,0,0
00:03:23,50,0,0
00:03:26,50,0,0
00:03:29,50,0,0
00:03:32,50,0,0
00:03:35,50,0,0
00:03:38,50,0,0
00:03:41,50,0,0
00:03:44,50,0,0
00:03:47,50,0,0
00:03:50,50,0,0
00:03:53,50,0,0
00:03:56,50,0,0
00:03:59,50,0,0
00:04:02,50,0,0
00:04:05,50,0,0
00:04:08,50,0,0
00:04:11,50,0,0
00:04:14,50,0,0
00:04:17,50,0,0
00:04:20,50,0,0
00:04:23,50,0,0
00:04:26,50,0,0
00:04:29,50,0,0
00:04:32,50,0,0
00:04:35,50,0,0
00:04:38,50,0,0
00:04:41,50,0,0
00:04:44,50,0,0
00:04:47,50,0,0
00:04:50,50,0,0
00:04:53,50,0,0
00:04:56,50,0,0
00:04:59,50,0,0
00:05:02,50,0,0
00:05:05,50,0,0
00:05:08,50,0,0
00:05:11,50,0,0
00:05:14,50,0,0
00:05:17,50,0,0
00:05:20,50,0,0
00:05:23,50,0,0
00:05:26,50,0,0
00:05:29,50,0,0
00:05:32,50,0,0
00:05:35,50,0,0
00:05:38,50,0,0
00:05:41,50,0,0
00:05:44,50,0,0
00:05:47,50,0,0
00:05:50,50,0,0
00:05:53,50,0,0
00:05:56,50,0,0
00:05:59,50,0,0
00:06:02,50,0,0
00:06:05,50,0,0
00:06:08,50,0,0
00:06:11,50,0,0
00:06:14,50,0,0
00:06:17,50,0,0
00:06:20,50,0,0
00:06:23,50,0,0
00:06:26,50,0,0
00:06:29,50,0,0
00:06:32,50,0,0
00:06:35,50,0,0
00:06:38,50,0,0
00:06:41,50,0,0
00:06:44,50,0,0
00:06:47,50,0,0
00:06:50,50,0,0
00:06:53,50,0,0
00:06:56,50,0,0
00:06:59,50,0,0
00:07:02,50,0,0
00:07:05,50,0,0
00:07:08,50,0,0
00:07:11,50,0,0
00:07:14,50,0,0
00:07:17,50,0,0
00:07:20,50,0,0
00:07:23,50,0,0
00:07:26,50,0,0
00:07:29,50,0,0
00:07:32,50,0,0
00:07:35,50,0,0
00:07:38,50,0,0
00:07:41,50,0,0
00:07:44,50,0,0
00:07:47,50,0,0
